adc_cytc_amac_7_trapping_combined	0V	120V	240V	360V
55.104	0	0	0	0
55.35	0	0	0	0
55.596	0	0	0	0
55.842	0	0	0	0
56.088	0	0	0	2.55919E-05
56.334	0	0	0	0
56.58	0	0	0	0
56.826	0	0	0	0
57.072	0	0	0	0
57.318	0	0	0	0
57.564	0	0	0	0
57.81	0	0	0	0
58.056	0	0	0	0
58.302	0	0	0	0
58.548	0	0	0	0
58.794	0	0	0	0
59.04	0	0	0	0
59.286	0	0	0	0
59.532	0	0	0	0
59.778	0	0	0	0
60.024	0	0	0	0
60.27	0	0	0	0
60.516	0	0	0	0
60.762	0	0	0	0
61.008	0	0	0	0
61.254	0	0	0	0
61.5	0	0	0	0
61.746	0	0	0	0
61.992	0	0	0	0
62.238	0	0	0	0
62.484	0	0	0	0
62.73	0	0	0	0
62.976	0	0	0	0
63.222	0	0	0	0
63.468	0	0	0	0
63.714	0	0	0	0
63.96	0	0	0	0
64.206	0	0	0	0
